what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285457703591
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457709048
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457710188
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457711352
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457726206
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457739639
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457740913
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285457746701
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457748515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285457749222
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285457749806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285457930970
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285458010913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285458011860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285459948462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285459956035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285459957149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285459972044
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285459976499
started,bundle,org.chromium.debug.ui,0.1.6.201008092223,"org.chromium.debug.ui",1285459982324
started,bundle,org.chromium.debug.core,0.1.6.201008092223,"org.chromium.debug.core",1285459982731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460012662
error,log,,,"Failed to connect to V8 VM",1285460020039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460020119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460023262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460024925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460035371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460045040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460056687
opened,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285460057313
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285460057416
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1285460058971
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460061279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460062351
opened,view,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.SourceView",1285460063739
activated,view,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.SourceView",1285460063760
opened,view,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.JavadocView",1285460064539
activated,view,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.JavadocView",1285460064574
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285460065194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460074544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460076537
activated,view,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.JavadocView",1285460076655
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1285460077544
error,log,,,"Failed to connect to V8 VM",1285460078036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460078118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460078199
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1285460078206
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460079458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460079549
error,log,,,"Unable to find Action Set: org.chromium.debug.ui.ChromiumDebugActionSet",1285460086283
