what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460935906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460936418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285460987039
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285460987061
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285460987693
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285461003508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461037784
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461063179
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285461063214
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285461063838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461075764
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461077036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461080388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461085083
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285461085116
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285461086095
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461097456
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1285461101193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461103178
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285461110775
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285461118492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461119487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461153402
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1285461153427
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285461165135
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285461171699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461172889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461182540
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1285461233935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1285461235376
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461239325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461243497
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1285461299266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461303152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461306362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461339962
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461347452
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461364493
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461368738
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461378766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461384923
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461393446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1285461395901
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285461687419
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1285461688848
